,Unnamed: 0,Name,Age,Overall,Potential,Club,Value,Wage,Acceleration,Aggression,Ball control,Dribbling,Finishing,Shot power,Strength,Sprint speed,Stamina,Preferred Positions,Thou/Mill,Value Int,Wage Int,Preferred Position,age group,class group
0,0,Cristiano Ronaldo,32,94,94,Real Madrid CF,€95.5M,€565K,89.0,63.0,93.0,91.0,94.0,94.0,80.0,91.0,92.0,ST LW ,Mill,95000000.0,565000.0,ST,30-36,World Class
1,1,L. Messi,30,93,93,FC Barcelona,€105M,€565K,92.0,48.0,95.0,97.0,95.0,85.0,59.0,87.0,73.0,RW ,Mill,105000000.0,565000.0,RW,24-30,World Class
3,3,L. Suárez,30,92,92,FC Barcelona,€97M,€510K,88.0,78.0,91.0,86.0,94.0,87.0,80.0,77.0,89.0,ST ,Mill,97000000.0,510000.0,ST,24-30,World Class
2,2,Neymar,25,92,94,Paris Saint-Germain,€123M,€280K,94.0,56.0,95.0,96.0,89.0,80.0,53.0,90.0,78.0,LW ,Mill,123000000.0,280000.0,LW,24-30,World Class
5,5,R. Lewandowski,28,91,91,FC Bayern Munich,€92M,€355K,79.0,80.0,89.0,85.0,91.0,88.0,84.0,83.0,79.0,ST ,Mill,92000000.0,355000.0,ST,24-30,World Class
7,7,E. Hazard,26,90,91,Chelsea,€90.5M,€295K,93.0,54.0,92.0,93.0,83.0,79.0,65.0,87.0,79.0,LW ,Mill,90000000.0,295000.0,LW,24-30,World Class
9,9,G. Higuaín,29,90,90,Juventus,€77M,€275K,78.0,50.0,85.0,84.0,91.0,88.0,85.0,80.0,72.0,ST ,Mill,77000000.0,275000.0,ST,24-30,World Class
8,8,T. Kroos,27,90,90,Real Madrid CF,€79M,€340K,60.0,60.0,89.0,79.0,76.0,87.0,74.0,52.0,77.0,CDM CM ,Mill,79000000.0,340000.0,CD,24-30,World Class
10,10,Sergio Ramos,31,90,90,Real Madrid CF,€52M,€310K,75.0,84.0,84.0,61.0,60.0,79.0,81.0,77.0,84.0,CB ,Mill,52000000.0,310000.0,CB,30-36,World Class
17,17,G. Chiellini,32,89,89,Juventus,€38M,€225K,68.0,92.0,57.0,58.0,33.0,78.0,91.0,78.0,68.0,CB ,Mill,38000000.0,225000.0,CB,30-36,World Class
